ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
1648962675.918648,C4IpYL2b2dIWRfF7kd,192.168.1.254,39679,239.255.255.250,1900,udp,,0.008136987686157001,2649.0,0.0,S0,True,False,0,D,7,2845,0,0
1648962676.112416,CgZWk44U1glShtSmnb,192.168.1.254,42076,239.255.255.250,1900,udp,,0.008249998092651001,2649.0,0.0,S0,True,False,0,D,7,2845,0,0
1648962676.30595,C0QEl64PUNJdITC532,192.168.1.254,54379,239.255.255.250,1900,udp,,0.008037090301513,2649.0,0.0,S0,True,False,0,D,7,2845,0,0
1648962208.370629,CJcX3Z3q4sLIxe9fi9,192.168.1.5,61189,216.58.215.170,443,tcp,,239.48663997650146,0.0,0.0,S1,True,False,0,Sh,20,1280,40,2400
1648962715.212783,C4s07G3kLrAuTscpGd,fe80::49:ef2f:40e:6ac8,143,ff02::16,0,icmp,,1.000924825668335,40.0,0.0,OTH,False,False,0,,2,152,0,0
1648962775.32291,C29vtP3ESPjx7qHFSa,192.168.1.5,56391,212.166.211.2,53,udp,dns,0.024614810943603002,74.0,106.0,SF,True,False,0,Dd,2,130,2,162
1648962776.144279,Cv521R1izclT44W2i,192.168.1.5,50018,212.166.211.2,53,udp,dns,0.032634973526000005,86.0,416.0,SF,True,False,0,Dd,2,142,2,472
1648962775.20112,CZgQYj3go268fCwyVf,fe80::49:ef2f:40e:6ac8,5353,ff02::fb,5353,udp,dns,13.063007116317749,448.0,0.0,S0,False,False,0,D,4,640,0,0
1648962775.200045,COS8WB1oO5kdXJMNtc,192.168.1.5,5353,224.0.0.251,5353,udp,dns,13.06303882598877,448.0,0.0,S0,True,False,0,D,4,560,0,0
1648962797.013492,CoRJUs337uyAeSBAnl,192.168.1.5,49627,212.166.211.2,53,udp,dns,0.031993865966796,64.0,106.0,SF,True,False,0,Dd,2,120,2,162
1648962797.061445,CVHABG86voimTG109,192.168.1.5,62556,212.166.211.2,53,udp,dns,0.019659042358398,86.0,524.0,SF,True,False,0,Dd,2,142,2,580
1648962772.493656,ChwgdgzLN75fpSxLb,192.168.1.254,46172,239.255.255.250,1900,udp,,0.008601188659667,2649.0,0.0,S0,True,False,0,D,7,2845,0,0
1648962772.68712,CQWBFp1Jph046oxxr,192.168.1.254,40159,239.255.255.250,1900,udp,,0.008623123168945,2649.0,0.0,S0,True,False,0,D,7,2845,0,0
1648962772.88055,CC9iLa25i3VUtOkW6e,192.168.1.254,40332,239.255.255.250,1900,udp,,0.008397102355957,2649.0,0.0,S0,True,False,0,D,7,2845,0,0
1648962828.302305,C1hxbo4lpEW3M0NNVk,74.125.206.188,5228,192.168.1.3,53828,tcp,,4.018525123596191,235.0,0.0,OTH,False,True,0,DTR,14,3524,0,0
1648962836.21318,C8vO3P1QLhDPvyE5Qh,fe80::49:ef2f:40e:6ac8,5353,ff02::fb,5353,udp,dns,1.007203817367553,224.0,0.0,S0,False,False,0,D,2,320,0,0
1648962716.632669,C2IAt8ITKyf9PmQXl,192.168.1.7,5,192.168.1.5,1,icmp,,71.2327709197998,948.0,0.0,OTH,True,True,0,,15,1368,0,0
1648962836.212069,CLaNxc49yZf4YFx1hc,192.168.1.5,5353,224.0.0.251,5353,udp,dns,1.006739854812622,224.0,0.0,S0,True,False,0,D,2,280,0,0
1648962608.589351,Czj25y1V2nB0H2uR0e,192.168.1.3,46296,142.250.185.5,443,tcp,,252.19048810005188,0.0,698536.0,SHR,True,False,0,^hdtf,0,0,22,1354
1648962864.619738,CpWAQt3Oz6NFWx7uo5,192.168.1.3,46296,142.250.185.5,443,tcp,,3.6954879760000004e-05,0.0,0.0,SHR,True,False,0,^f,0,0,2,104
1648962812.146933,CbDP8a2Aynbe8xuAXl,192.168.1.254,138,192.168.1.255,138,udp,,0.0010528564453120002,427.0,0.0,S0,True,True,0,D,2,483,0,0
1648962871.187084,Coyigv29rY2btlp9Pc,192.168.1.3,46296,142.250.185.5,443,tcp,,1.176671028137207,0.0,0.0,SHR,True,False,0,^af,0,0,4,232
1648962887.726327,CAG0dE35Pxucc6CG3d,192.168.1.3,46296,142.250.185.5,443,tcp,,2.2172927856e-05,0.0,0.0,SHR,True,False,0,^f,0,0,2,104
1648962838.341598,CMdhIU3p9RfPIxpBT9,fe80::a89e:a7ff:fe2d:878d,133,ff02::2,134,icmp,,,,,OTH,False,False,0,,1,56,0,0
1648962837.211221,CB8VqR1TRQCXaxTJbh,fe80::49:ef2f:40e:6ac8,143,ff02::16,0,icmp,,2.002560138702392,40.0,0.0,OTH,False,False,0,,2,152,0,0
1648962897.218994,CPU1Y119MPPjvEVwY,192.168.1.5,5353,224.0.0.251,5353,udp,dns,1.00671100616455,224.0,0.0,S0,True,False,0,D,2,280,0,0
1648962897.219932,CIY9Tr4pUJIEyW94je,fe80::49:ef2f:40e:6ac8,5353,ff02::fb,5353,udp,dns,1.007797002792358,224.0,0.0,S0,False,False,0,D,2,320,0,0
1648962589.436907,CUxEuz20HiAXwvNWgc,192.168.1.3,53828,142.250.200.138,443,tcp,,31.12937092781067,0.0,0.0,OTH,True,False,0,^h,0,0,12,720
1648962869.072115,CxBQBB30pl7HkJbiAb,192.168.1.254,44308,239.255.255.250,1900,udp,,0.008150100708007,2649.0,0.0,S0,True,False,0,D,7,2845,0,0
